date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:37:31	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Dec%202019%2022:37:31%20GMT	http://localhost/robots.txt		(from )
23:37:31	51824/51824	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Dec%202019%2022:37:31%20GMT	http://localhost/wordpress/	C:/My%20Web%20Sites/ink/localhost/wordpress/index.html	(from )
23:37:31	41467/41467	---M-Z	200	added ('OK')	text/css	etag:%22a1fb-599ef8821a15c-gzip%22	http://localhost/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.3.2	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-includes/css/dist/block-library/style.min9dff.css	(from http://localhost/wordpress/)
23:37:32	1939/1939	---M-Z	200	added ('OK')	text/css	etag:%22793-599ef8821d23c-gzip%22	http://localhost/wordpress/wp-includes/css/dist/block-library/theme.min.css?ver=5.3.2	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-includes/css/dist/block-library/theme.min9dff.css	(from http://localhost/wordpress/)
23:37:32	1684/1684	---M-Z	200	added ('OK')	application/rss+xml	etag:%22edbe0977ed2c29819efca7bda116e77c-gzip%22	http://localhost/wordpress/feed/	C:/My%20Web%20Sites/ink/localhost/wordpress/feed/index.html	(from http://localhost/wordpress/)
23:37:32	476/476	---M-Z	200	added ('OK')	text/css	etag:%221dc-59a29376f9844-gzip%22	http://localhost/wordpress/wp-content/plugins/animated-typing-effect/assets/css/cursor.css?ver=5.3.2	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/plugins/animated-typing-effect/assets/css/cursor9dff.css	(from http://localhost/wordpress/)
23:37:32	1688/1688	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a88bf2b6588eacc8af97e1a8925915ef-gzip%22	http://localhost/wordpress/comments/feed/	C:/My%20Web%20Sites/ink/localhost/wordpress/comments/feed/index.html	(from http://localhost/wordpress/)
23:37:32	56842/56842	---M-Z	200	added ('OK')	text/css	etag:%22de0a-59a29d6db1b1c-gzip%22	http://localhost/wordpress/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min.css?ver=5.11.2	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.minaec5.css	(from http://localhost/wordpress/)
23:37:32	10909/10909	---M-Z	200	added ('OK')	text/css	etag:%222a9d-59a29d6da211e-gzip%22	http://localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min.css?ver=2.4.0	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min8d5a.css	(from http://localhost/wordpress/)
23:37:33	5213/5213	---M-Z	200	added ('OK')	text/css	etag:%22145d-59a29d6d9fe3f-gzip%22	http://localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/magnific-popup.min.css?ver=1.0.0	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/magnific-popup.min8a54.css	(from http://localhost/wordpress/)
23:37:33	1575/1575	---M-Z	200	added ('OK')	text/css	etag:%22627-59a29d6da43ff-gzip%22	http://localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/slick.min.css?ver=1.6.0	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/slick.minaff7.css	(from http://localhost/wordpress/)
23:37:33	155794/155794	---M-Z	200	added ('OK')	text/css	etag:%2226092-59a29d6d87fbc-gzip%22	http://localhost/wordpress/wp-content/themes/oceanwp/assets/css/style.min.css?ver=1.7.3	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/themes/oceanwp/assets/css/style.min3e0d.css	(from http://localhost/wordpress/)
23:37:34	14983/14983	---M-Z	200	added ('OK')	text/css	etag:%223a87-59a29cc710557-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.5.0	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mindeba.css	(from http://localhost/wordpress/)
23:37:34	18468/18468	---M-Z	200	added ('OK')	text/css	etag:%224824-59a29cc6e1973-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.8.2	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/plugins/elementor/assets/lib/animations/animations.min4dc3.css	(from http://localhost/wordpress/)
23:37:34	104255/104255	---M-Z	200	added ('OK')	text/css	etag:%221973f-59a29cc5f8edc-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.8.2	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/plugins/elementor/assets/css/frontend.min4dc3.css	(from http://localhost/wordpress/)
23:37:34	55967/55967	---M-Z	200	added ('OK')	text/css	etag:%22da9f-59a29cc725a57-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=2.8.2	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min4dc3.css	(from http://localhost/wordpress/)
23:37:35	26625/26625	---M-Z	200	added ('OK')	text/css	etag:%226801-59a29cc72e5ce-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=2.8.2	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min4dc3.css	(from http://localhost/wordpress/)
23:37:35	37079/37079	---M-Z	200	added ('OK')	text/css	etag:%2290d7-59a528a9b9438-gzip%22	http://localhost/wordpress/wp-content/uploads/elementor/css/post-125.css?ver=1577054187	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/uploads/elementor/css/post-12546a8.css	(from http://localhost/wordpress/)
23:37:35	37002/37002	---M-Z	200	added ('OK')	text/css	etag:%22908a-59a29cd487d71-gzip%22	http://localhost/wordpress/wp-content/plugins/ocean-extra/assets/css/widgets.css?ver=5.3.2	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/plugins/ocean-extra/assets/css/widgets9dff.css	(from http://localhost/wordpress/)
23:37:35	54540/54540	---M-Z	200	added ('OK')	text/css	etag:%22d50c-59a29cc72a7d7-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.9.0	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.minad76.css	(from http://localhost/wordpress/)
23:37:36	667/667	---M-Z	200	added ('OK')	text/css	etag:%2229b-59a29cc72cc9e-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.9.0	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.minad76.css	(from http://localhost/wordpress/)
23:37:37	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-5333ff613c400-gzip%22	http://localhost/wordpress/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/wordpress/)
23:37:37	822/822	---M-Z	200	added ('OK')	text/xml	date:Sun,%2022%20Dec%202019%2022:37:37%20GMT	http://localhost/wordpress/xmlrpc.php?rsd	C:/My%20Web%20Sites/ink/localhost/wordpress/xmlrpc0db0.php	(from http://localhost/wordpress/)
23:37:37	14974/14974	---M-Z	200	added ('OK')	application/javascript	etag:%223a7e-59a29cc73b98f-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=2.8.2	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min4dc3.js	(from http://localhost/wordpress/)
23:37:37	27897/27897	---M-Z	200	added ('OK')	application/javascript	etag:%226cf9-57d7ae12f2a40-gzip%22	http://localhost/wordpress/wp-content/plugins/granular-controls-for-elementor/assets/js/jarallax.js?ver=1.0.5	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/plugins/granular-controls-for-elementor/assets/js/jarallax97de.js	(from http://localhost/wordpress/)
23:37:37	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://localhost/wordpress/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-includes/wlwmanifest.xml	(from http://localhost/wordpress/)
23:37:38	2201/2201	---M--	200	added ('OK')	application/json	date:Sun,%2022%20Dec%202019%2022:37:37%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2F	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-json/oembed/1.0/embed68f4.json	(from http://localhost/wordpress/)
23:37:38	2296/2296	---M-Z	200	added ('OK')	text/xml	date:Sun,%2022%20Dec%202019%2022:37:38%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2F&format=xml	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-json/oembed/1.0/embedd248	(from http://localhost/wordpress/)
23:37:39	96873/96873	---M-Z	200	added ('OK')	application/javascript	etag:%2217a69-59936a760715c-gzip%22	http://localhost/wordpress/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-includes/js/jquery/jquery4a5f.js	(from http://localhost/wordpress/)
23:37:39	7312/7312	---M--	200	added ('OK')	image/png	etag:%221c90-59a3c5488fe55%22	http://localhost/wordpress/wp-content/uploads/2019/12/a55911fe6493ef5071164231029e11c2-300x180.png	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/uploads/2019/12/a55911fe6493ef5071164231029e11c2-300x180.png	(from http://localhost/wordpress/)
23:37:40	51764/51764	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Dec%202019%2022:37:39%20GMT	http://localhost/wordpress/it/elementor-992/	C:/My%20Web%20Sites/ink/localhost/wordpress/it/elementor-992/index.html	(from http://localhost/wordpress/)
23:37:42	23576/23576	---M--	200	added ('OK')	image/png	etag:%225c18-59a17eb5020a2%22	http://localhost/wordpress/wp-content/uploads/2019/12/Untitled-1-300x263.png	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/uploads/2019/12/Untitled-1-300x263.png	(from http://localhost/wordpress/)
23:37:42	11671/11671	---M--	200	added ('OK')	image/jpeg	etag:%222d97-59a27b844e0de%22	http://localhost/wordpress/wp-content/uploads/2019/12/SDL_Trados_Studio_Web_Icons_012.jpg	C:/My%20Web%20Sites/ink/localhost/wordpress/wp-content/uploads/2019/12/SDL_Trados_Studio_Web_Icons_012.jpg	(from http://localhost/wordpress/)
